,PMU_EXAMPLE_FAKE_092be9f8_f19f_11ec_ad61_30d042e819fe
pmc77,"0.07404465173409036,0.3867353463005374,0.6499639307777652,0.023271935735825866,0.5538542844013208,0.9265876251614944,0.39785559904574164,0.7222525683930663,0.6589239419101514,0.05142581348425035,0.6796472826930698,0.10698063882695841,0.9866625932671464,0.5148173539296902,0.7622851347766157,0.641971500443266,0.40298017876516146,0.4376031240553919,0.50836054691628,0.4296568127389351,0.4512393441809881,0.6428819100587077,0.5062660594952028,0.7889851599207933,0.790509794274885,0.6034930960433786,0.058091952080349785,0.16574977982015593,0.20468010905728395,0.011417983454073632,0.10590580440375763,0.881690611843508,0.48509465997954015,0.18772240569225207,0.5359350788521182,0.4893925374065887,0.37975152291931746,0.566605258905463,0.879330215678474,0.5498685627762052,0.27592269438054684,0.8124738210441717,0.3380844093662614,0.8391466080707525,0.35781124933559305,0.20969027743020086,0.9614166196420495,0.30781915002611915,0.6960798615670392,0.20598003587696168,0.23660978270750732,0.08670656759564022,0.3327294765103791,0.34206943465755535,0.6933775385188524,0.9824825806012478,0.1665035470495151,0.14609656554132022,0.6692682917508349,0.14990925324713966,0.5441086239394686,0.17081370630621073,0.36456642751986446,0.8276102613491533,0.11706441298186265,0.2706836043017311,0.25320116336997667,0.45341623062426806,0.19110562269114495,0.8279249545453125,0.6374046122611835,0.770437802792337,0.09455634477438823,0.402785534046495,0.01276542651789736,0.7143875620372924,0.9646904788284609,0.8033045735180335,0.387050011934887,0.757469050723103,0.5851947853928539,0.7305146540263266,0.4224457900308791,0.22683710232549514,0.6500924511399314,0.1728200514564523,0.7099330734342463,0.23063864021426395,0.33300763305224423,0.720433702225778,0.7632851902031591,0.7979431892533,0.5411880558570243,0.40944793762730913,0.8802517732816871,0.7428215015848658,0.06875095208867732,0.9951594102001212,0.3722452951860714,0.8301772429995874"
pmc78,"0.3584657285442726,0.9367299887367345,0.7019668772577033,0.8144684825889358,0.969302535619099,0.4921162930795382,0.9694704332753689,0.7200365365460744,0.02709599250348349,0.49636624720123634,0.21825388786506417,0.761027902502028,0.14249554290151323,0.3592333693997657,0.7978136488586345,0.6070940360887808,0.17352451498650867,0.2546706220460512,0.2975484513188206,0.8727302504846018,0.9849896561408751,0.694150573509831,0.6341040313763313,0.4464195164015822,0.1248208139668483,0.35781408411354887,0.1115122123212764,0.4455416387418909,0.5911303032585165,0.703699779629051,0.15482861259771985,0.8141256855911618,0.33362839583686565,0.08838494698451871,0.48849563265990537,0.7416414518360422,0.8014457762229537,0.6570304982341073,0.5570405132750351,0.05057310382422886,0.768581330913202,0.32694102433667527,0.1268240225504188,0.1453266924205041,0.5937806319434522,0.9765610233229043,0.6791625683195628,0.24116521430776194,0.36250198453151317,0.000943415267631087,0.4834980851068038,0.5383631021010228,0.9399243728857088,0.8099787436834724,0.7662454727603789,0.911818569539447,0.7122202051771587,0.8230035744469347,0.4480854872830765,0.5375811380515143,0.5517123720199669,0.19769030311448754,0.8436805296649776,0.9678645659513553,0.5281777214230171,0.37049143705951426,0.5552958253281813,0.989279945106385,0.7687641807211604,0.771243074033178,0.5567092565528539,0.210528488440613,0.7583847715899178,0.5888102701562232,0.8715518564582477,0.9166431026939161,0.07356335421576565,0.8972984957497385,0.6472222833978555,0.7317052727231516,0.36973781087268875,0.0403252397209507,0.39808717823623085,0.575501018469059,0.6536564764056204,0.34450589339406323,0.5337254136714444,0.7728739363818531,0.3735662860390806,0.6437706081012446,0.7226117248344496,0.5631265938920469,0.023716360305790607,0.8763139699155088,0.27993732969190666,0.05085396883373983,0.5073940938449606,0.399109299557426,0.7206644545078623,0.9506117747428903"
pmc79,"0.11586905952512971,0.13752094414599325,0.795792669436101,0.28185477477339993,0.5230978441701488,0.25824438829895835,0.8655071258939803,0.6411476328852973,0.22197216193294944,0.5968428489168892,0.9499611839502253,0.5412665786761103,0.49888815345135606,0.5929508514349274,0.435583314812933,0.54669741271407,0.6949510889024617,0.8408715794259226,0.5650219928590161,0.8419335667918086,0.7720124763099904,0.5126547531450529,0.07093221613377343,0.7983803405183525,0.7942106625494054,0.6478174459905284,0.5158619027123281,0.20918546540792782,0.18613589775334793,0.970257109726057,0.9447362587830797,0.6851343098744841,0.79155820259137,0.6989488284873856,0.4018871998907301,0.4925690707532976,0.3920935769045727,0.8983864665840349,0.23138063637684803,0.4261212379522308,0.2262724300031862,0.3057439574472911,0.3917424505622782,0.505696743781374,0.575593428640082,0.6456025770584116,0.6313759776433766,0.23356736106861098,0.8239976518799783,0.03926505164866023,0.42914949195832186,0.9132296862792705,0.3430267125900244,0.23828967055309158,0.30409463597128383,0.4391306608048505,0.17589028341866209,0.23503129881191864,0.48790019527930184,0.5757924711223097,0.3565589211768887,0.3188173228730047,0.19494276897015983,0.8898363940883107,0.1268728280630933,0.5689214058447163,0.5275796224253504,0.05474498225959512,0.2655875983073599,0.03881294781180211,0.7382955104783077,0.5014414736979107,0.6060138319360813,0.0892221680572386,0.4467395253113928,0.7054966519346239,0.05343460239101716,0.5182183156359275,0.04476838868848687,0.7091807037944047,0.4860575419026809,0.09476847103459396,0.026446902597667465,0.42343880489979246,0.9562211736436277,0.06154303413483686,0.14383447099031088,0.3389699261728214,0.21430007232287862,0.33281836109167195,0.20450433869279583,0.0057706612929679935,0.07978912363400037,0.29797979466226954,0.10595591134404769,0.22112326288901496,0.3289197782107244,0.6154007547092398,0.554806758273948,0.6342526534515374"
pmc80,"0.8631034258755935,0.3410663510502585,0.8900053418175663,0.11816482762165625,0.6293986381352625,0.4591357562382613,0.8170720709492799,0.6939484444671,0.2310747965880714,0.3342438908169608,0.786345014415552,0.9629920038589946,0.6181557343181191,0.16352387258502277,0.8178342161750216,0.23194709611597542,0.34609972653778553,0.038426348962324997,0.6888853020500907,0.18610141784627732,0.027167421225559818,0.3053106766967313,0.254391580841847,0.8224223736682784,0.27576756825135695,0.12292067846538757,0.2675926767279715,0.04997902865967874,0.33156469906719377,0.43766132814820347,0.7365352283347926,0.11043186341110267,0.45129411302925493,0.3683472137943513,0.15369104284420454,0.4831808633136685,0.7507696492110557,0.3995187845869348,0.5024272871663764,0.832363539660995,0.6923543061544142,0.4027037209945602,0.16266081510548513,0.062041416956554296,0.16145783406424008,0.9345438807155155,0.2705592564879914,0.0681866197654627,0.20408766115576027,0.9772838231769293,0.07489584200198374,0.38797275439788637,0.9881240759546354,0.2243829797997955,0.8116270144448535,0.03994797328609434,0.23538326189835757,0.6522811128184463,0.2042564679363964,0.6451500833009034,0.44730275625260063,0.5934964158218514,0.826867847173362,0.6005347682064148,0.592493479176405,0.8817089696385847,0.6554359784406613,0.3550152661362467,0.767233394159223,0.1941287704459722,0.3356092442409013,0.23362476364856655,0.5703125078265039,0.4309830628472584,0.3429665197000782,0.671779270254866,0.9375503374073385,0.45550169521922024,0.05404762734972657,0.20033982109644233,0.31378214330572873,0.006788174023589777,0.33555720169665715,0.5149275088606721,0.0030208713561612477,0.26997363685546205,0.009241588405514367,0.1430813954173139,0.5851216609271247,0.7548725289085606,0.3379699792404788,0.42932276570419525,0.41796954358652705,0.011871346669359295,0.11224107199158861,0.2742618501588997,0.5083116942766945,0.36524420161537186,0.42287646846677884,0.35390566721181704"
pmc81,"0.6232981268275579,0.11347352124058907,0.3379951568515358,0.6967371653641506,0.6957486889846172,0.980032575285477,0.25790282704493983,0.5427244433475962,0.6718927435987284,0.7709122037458219,0.08941100231225951,0.3418721660386861,0.702464970544104,0.3910815366517607,0.12020905537060844,0.39090599590551467,0.9756102008599149,0.9017619921354235,0.8733229158608077,0.8026433097957104,0.06520459126049205,0.21264437637109612,0.3618530932051387,0.8575623376612838,0.8770905810181889,0.8886590802653986,0.8354802257421944,0.8436496640518237,0.8550302016199351,0.23497340499595276,0.8829938248297731,0.28918744629594983,0.1834421964034345,0.4323462264033473,0.5726072328820224,0.8382304210818006,0.1254862967991507,0.32679470585777737,0.7314863597031158,0.8056488053633419,0.23333282264932664,0.6725072626736491,0.7343656764922184,0.07115567887790974,0.47173983751843906,0.30338554362913317,0.24879178873917707,0.18712427041050173,0.46904074751815394,0.2423536951367623,0.10616035354746722,0.8295658314283686,0.4852304557653562,0.5045029240548358,0.29391676050493376,0.36229349000020483,0.4943708110457581,0.4051971425753297,0.6268026300648439,0.016969129315466458,0.9655179182347664,0.21011777594021452,0.5626554229027424,0.5300523392123808,0.48249306052766294,0.9419055872604202,0.23318755442161632,0.4819001671099774,0.20588731076659939,0.5366075092637743,0.7651065916331309,0.40956092726250926,0.053576559607407925,0.17478671504515797,0.1382455656340571,0.3943411463506643,0.5298756255182061,0.030824618699370254,0.45723041961954436,0.21100669170752606,0.1418443976169852,0.15294318647542615,0.9760201575244942,0.17067743530223367,0.2479324498058072,0.7684210711172421,0.8081570490242127,0.8578891852462399,0.4429140980419636,0.6486950425330354,0.4698454349836749,0.40788492685035893,0.9429127113917565,0.3006556405607441,0.2912233185782761,0.5476119841428094,0.023975447376531678,0.39278564632870494,0.5657515642245824,0.6033255656445984"
pmc82,"0.3308980248526492,0.9246936182785628,0.375582952639944,0.628942846779884,0.45454106476777323,0.4926180939928696,0.17088758739006582,0.25179905890695276,0.019710537754364155,0.1065982531337718,0.41758077578492836,0.6326218931339481,0.5596486834869141,0.9694123223352875,0.5444890979608495,0.594476335186173,0.640972077345332,0.46147746462473416,0.6362913539792481,0.45818688673789265,0.46393137681233276,0.03318935456242622,0.47249335500651357,0.9166352358412073,0.9440420938253978,0.5030839507798364,0.014693388654953843,0.9811925291641158,0.20707580921085522,0.7048710100433817,0.20263263413534316,0.309806875322469,0.8549740195614743,0.031149092793391064,0.2770125243259788,0.36140377906718635,0.7727714196650791,0.010811083635196339,0.9581180089194338,0.22431855885352625,0.6253301699544539,0.6821916892550988,0.20883093549458998,0.5738658496770963,0.5534717762098499,0.7818909129968897,0.9420582194885955,0.5555495698856199,0.8009387215414303,0.663310709504002,0.8374725196187746,0.1336956543994362,0.17916391829015088,0.2608492459620889,0.4463263599865612,0.8263903116005552,0.9148349499968781,0.5960435954776472,0.35874251054288864,0.9603667746221303,0.3773484772303116,0.11633172713326123,0.7621875111940821,0.02784105126258629,0.6225753978327817,0.7395632481112681,0.8644029871943977,0.5031335547483198,0.3216863687013094,0.9348220404438012,0.43276708170819367,0.7800840237349648,0.14049900979551733,0.9871000859241166,0.43946537435844213,0.0012844255268014138,0.6149030145669361,0.8792043375853826,0.5496223011060349,0.688292998427255,0.21380121066273283,0.06899000871045946,0.8735555762270888,0.6629062523445658,0.9277914793753155,0.8850153245472586,0.17619440616424753,0.3088608992364632,0.03417558904108742,0.6374453787179021,0.3307929914276556,0.11394526944454353,0.7215117798434236,0.5780750491848317,0.6141837239845392,0.14451522390695026,0.3130253547015813,0.6956407534454081,0.3654514846532736,0.31200130610845034"
pmc83,"0.06355835028602363,0.877339353380981,0.093981939840869,0.877472013527053,0.6275580800840634,0.3287516102875082,0.668643219924431,0.34569599350391944,0.10410858198457384,0.07513778173580876,0.8791183075621647,0.9320281055100175,0.00977084741918366,0.25813343270112754,0.0057586604981215705,0.4967668588591694,0.822480563634361,0.6372014768082804,0.761121537043158,0.4829688720853552,0.9092202058615602,0.3039464012407238,0.045648745502383736,0.43098522051329624,0.14879596940511564,0.44934974203964206,0.3790940486719362,0.7931428739967394,0.07115828517343281,0.8171281420155851,0.5875858711094019,0.24995694639762123,0.8825598767723473,0.2595764492750492,0.9213075122129755,0.8597946748116456,0.23693332490664865,0.8265510741914642,0.22044600424541894,0.22607907101056268,0.7470782671290289,0.3152394346494508,0.05856530528453385,0.566018424887821,0.5702869387313905,0.765858643884742,0.29827245423412274,0.2913610728377445,0.18015864773261925,0.8390996987996115,0.23981995220659025,0.9353944896677987,0.8911400917935094,0.009087034951216322,0.7270185270141339,0.701499101465166,0.21171437214797084,0.10745055262890812,0.9956451766743493,0.04458809273414399,0.258226813259983,0.9701168864184322,0.7136073662634715,0.24665644684477783,0.010046981054831594,0.08661976085469403,0.30936856208001284,0.3159358223856368,0.4654869724396994,0.8349567750521169,0.4841844983225968,0.7712248152904037,0.6225493962131138,0.5611502124351744,0.49632277128437885,0.12015925873562194,0.48242360159472886,0.013010213425872719,0.887817640335819,0.21972275011039688,0.10551364640120109,0.9958023677799186,0.3293780670342177,0.852538740855967,0.932133915398283,0.22152715190236705,0.606216642220766,0.6588554042268422,0.31965206225530063,0.553427700787068,0.754940200158329,0.6761417886014571,0.08812656950055775,0.37593837540329333,0.8043203260971725,0.13394121940000037,0.819868147527005,0.9378869760948835,0.9361463354321129,0.9098236408320604"
pmc84,"0.3109823217156622,0.2579416277151556,0.578280140996174,0.7350710438038858,0.5843143119231002,0.6334008543167258,0.9293759891275858,0.18159771680142567,0.7999160853731894,0.7281887562036033,0.9447320222914103,0.10250972799067926,0.3264613082439919,0.6567366645412922,0.3245858299002703,0.9877855202148873,0.13252467274184843,0.6593539222057827,0.160071634954573,0.13347997241594378,0.5387017979527142,0.653162790531283,0.14002409755331768,0.31886681832113883,0.4626756050653935,0.5858647884535192,0.3373455467690927,0.853784921704667,0.0690075926128163,0.5464303160778473,0.7011395944174736,0.5150056597097231,0.4663097561401701,0.03367640387446402,0.5831908042770976,0.40680480095172356,0.6773931298888728,0.8009807004033649,0.8861817721293451,0.8173053122132368,0.2187138889065392,0.1332099241366287,0.5523661378172343,0.878033512844457,0.2101071929123518,0.6916556518665415,0.7755052967189994,0.41739478232914795,0.10986311374078295,0.5506604592365643,0.19495827149863054,0.7514233175313026,0.4603553731348269,0.6482975272988015,0.6929202292247886,0.4593436555939564,0.14424002111810352,0.016912799921607324,0.48018351526188785,0.14306195272340239,0.24346704406676012,0.021981814809622913,0.207511495384879,0.45961475173292643,0.1948404916553641,0.6691541555348508,0.6941316539762369,0.729240249097568,0.9431958496934507,0.8425345083518017,0.6481021272610714,0.22810037790238513,0.2078238414588358,0.6874368609408673,0.4036466944934778,0.5345545447560391,0.09365745260747449,0.9447500802102118,0.10466063390789626,0.43867169680304885,0.6830695751901241,0.2888099699540896,0.5877954050663722,0.2579395067869006,0.7205864193706374,0.46354783925892185,0.33692191307674557,0.5664436850866266,0.8104329135731705,0.011389668088552796,0.3293535242499547,0.7020971883794911,0.8463180127808737,0.5348727557587553,0.8992503069815647,0.943788889207958,0.5539417338546375,0.5423589504923214,0.05490489091077433,0.870400463105837"
pmc85,"0.32518332202674705,0.659984046034179,0.035942273796742086,0.8034809303848486,0.901158010490989,0.24014561877819307,0.5567628930139298,0.9084505613336283,0.1785446620543336,0.49549131620619846,0.4674015112498697,0.9372284872364511,0.5177116433847114,0.3251900642246949,0.3664615348713979,0.13643975255673313,0.8620144822726226,0.8951177407065364,0.4615574744197899,0.08060151375712465,0.4978125080342902,0.9383048184484827,0.2768143077913058,0.5821987465941139,0.9809873781626851,0.6247838627894025,0.019327630917601035,0.24197713031704537,0.9407845205031079,0.9670352752561462,0.6801118854469727,0.5355538148796726,0.07569972730978747,0.8791857726012476,0.5928401805081102,0.3282331056783394,0.5657815548409963,0.10445451810015138,0.9343041141674903,0.9303984201693255,0.05994330086130828,0.6323962564655086,0.5952297327194016,0.5578736756600732,0.7422713922522868,0.9656389752668004,0.39312179820707915,0.3768668803471885,0.8836839676879897,0.1531445000839562,0.5049114512501393,0.9413343927869017,0.7096713435045244,0.511093821472398,0.9873684723122,0.055101535158831094,0.7589768318540306,0.9095644273803012,0.4858856061896132,0.01401451752605698,0.45776461270413416,0.8026974053360216,0.5688127364338729,0.6285039000835678,0.4913304319121309,0.41030372187266206,0.01612464637221489,0.8747470734889747,0.9317314247538246,0.3032081937596749,0.01835838399922396,0.9222233181548601,0.5040700797484243,0.3254182806826078,0.6786600938268971,0.6751298858444197,0.7680893784186665,0.48921624868809066,0.8226479271938894,0.7820018255939414,0.6607273931091515,0.14926801266924727,0.847296745535494,0.4915142258318266,0.76576332104754,0.4703240479372064,0.5854859383150356,0.4717563093908743,0.6897015348618686,0.6965071834768891,0.13823208678533716,0.7208932190520977,0.732300770608181,0.8765981188350187,0.6237533843692328,0.804202907297781,0.4505824928161174,0.7683999289487798,0.6733914790298352,0.558231750279661"
pmc86,"0.7296061783380641,0.8172222002012158,0.46559801813246016,0.2820345725713065,0.04544638034145787,0.07586332810866392,0.5716126894698998,0.5833917947661205,0.6527461078518747,0.688402396427736,0.6134113892107077,0.6878857223008134,0.08786649914483335,0.7734731256866006,0.3961726916092554,0.6951445540475938,0.9227571905133943,0.6366696821672073,0.009331619827093296,0.7279393069737652,0.10547369995663058,0.871204482263052,0.9715326909010507,0.3711724234376276,0.4834074359731466,0.07177580622651303,0.12436839900051022,0.9606269755131998,0.5069204379618346,0.0516687216579611,0.4081516908666981,0.3568859751711102,0.38782608991693124,0.24339668321853047,0.35492466087701,0.453989911199699,0.9291447172116873,0.5768573811327002,0.9164205445320662,0.09536092127300355,0.13097374299417408,0.12832586218876452,0.8719130612805055,0.9597910204048502,0.025199094821069634,0.39355533610631555,0.13925407078470398,0.8759049249998946,0.3429296627591959,0.7281164373361664,0.7687471313625129,0.6766172335525065,0.9837115832091518,0.4455178144931612,0.22516102421593187,0.4268947278233026,0.500619532333931,0.2696300087671828,0.5658517874106719,0.5668584332940947,0.7595201487169441,0.7880351495750221,0.8677231528050924,0.5572518333184107,0.9505035615891348,0.4707009994910616,0.37265712989414723,0.938719301977863,0.2068718754222878,0.42944789707870257,0.6539942214202483,0.5925681827648268,0.5448816860293935,0.09473891477934415,0.420896528759226,0.4174482838964625,0.7472246450885869,0.3419344935747266,0.2100473372920696,0.783952518097841,0.9506063715798728,0.24099625799591795,0.44127433675006866,0.9755273290209018,0.09148295792964711,0.8735753057597342,0.315653626982324,0.4958194726485391,0.7248708535798805,0.3760417911091565,0.3990404520483041,0.728470945558592,0.6109465257026532,0.9124850542303685,0.0056313127480537295,0.1806549020911703,0.2855250717153396,0.08920655881696382,0.8912826648277505,0.32479891538036054"
pmc87,"0.6375574713552131,0.5552008115994623,0.5426446347075766,0.17743954377972282,0.2809631895922303,0.12887972191064923,0.2799790936602842,0.4008514167636399,0.23818278104672652,0.4348273386037462,0.16703394609207523,0.0678370591051719,0.35062693120918076,0.13087366071834983,0.6954672066898622,0.4043187681042921,0.4870619188189359,0.6139335847600618,0.24667886452162302,0.49646115235529975,0.656780104724294,0.7660647765353026,0.33134700710305076,0.601074166800233,0.8635475225145451,0.6826172212234024,0.41364267491863527,0.19692570445342839,0.40941207181701833,0.5047955983045281,0.015394891691308477,0.353789158736436,0.8035376594626034,0.557337169573008,0.05198935197770749,0.7624469586748684,0.38732251797531403,0.4639816981668874,0.6354143568619098,0.45005863942622526,0.6059969672710255,0.5784925082293301,0.5769816124176819,0.04869484839992977,0.35483185554316266,0.1307173235897573,0.01071529769535895,0.9052989990105155,0.683870124909032,0.600251410099583,0.06194651857898792,0.363403931999427,0.050175350319974,0.9669685146183153,0.6623179135395824,0.4690249397178835,0.9117851123817714,0.8196770027804591,0.9167560031187467,0.9322668839209722,0.2059881841884732,0.297214113845096,0.43211623680192934,0.7426359896816905,0.3836090403551584,0.04914839034517704,0.3517098179588083,0.8050933767995262,0.3582190412430728,0.4707059473159374,0.6185851490721154,0.3799242909620145,0.2835071902709394,0.9758708627835366,0.9614175778465733,0.7306790115283902,0.311703321492812,0.9242184348426601,0.39408364851003186,0.45326177252585964,0.7296784136472413,0.9361255715401346,0.01795786375015096,0.33324174055072764,0.5138758347782336,0.7627990528758054,0.08693956069225417,0.7322379140922876,0.6981169240835235,0.9426097101586556,0.9799144327823803,5.282693229680113e-05,0.8202929606091773,0.2659740646541121,0.1863167765185335,0.40656780790549096,0.2980425227913559,0.21115803743192696,0.8038847087352534,0.29338967558297835"
pmc88,"0.8872127425763265,0.5296505783560065,0.2865412521282844,0.7506147516408583,0.9504114840765587,0.12804583895777244,0.7694929331919369,0.4620058036441327,0.09944139275934516,0.2464020332391068,0.9911686261369765,0.30096356694681625,0.033203108791366565,0.9698210450785447,0.38855810127034573,0.42819961492561476,0.6062529377509774,0.06665204056068996,0.7264617151130048,0.43685070261517955,0.8221031606002255,0.7884473432532987,0.48204105811208253,0.7055858626438246,0.5887315221313199,0.24193168031552958,0.49286458444744663,0.9514298103618323,0.8108785810079184,0.7184539473225501,0.5829260568042631,0.8285555979060814,0.9017740285462287,0.03897932066113041,0.03174376537298862,0.12600202786399428,0.06616518883444045,0.11870909550911146,0.6298206544347077,0.33745427896422897,0.8494464062257355,0.693422128056309,0.3454808537234457,0.09800768478074107,0.7802126485356335,0.6717088592440608,0.5442573370152508,0.49295697165586005,0.02534860426393848,0.7312505893473751,0.5768079196382558,0.9381811725247224,0.09669455978756714,0.5711991839629137,0.6096819082757774,0.928555532894136,0.14661455715984228,0.9993503004722002,0.8008180998597503,0.6659471660804642,0.7092961271407681,0.1356266160073134,0.9665907702233167,0.27976693088704085,0.42437202605363467,0.19106213934635818,0.5434844285830145,0.8505801973065994,0.14939938845377232,0.15737158334991042,0.3098471167532799,0.5019355807808606,0.9484251555414929,0.2862590353831832,0.5992775178235918,0.5218622953321788,0.3062392452284004,0.024390993110096737,0.3166024348274129,0.7921899382752451,0.052045838756131446,0.5201602230243957,0.07451046181864007,0.5950463449237612,0.2315829912889994,0.5130772183680499,0.2229500085577536,0.08777291412344057,0.3109730213830333,0.8179847710772054,0.2258814129335759,0.9539208038467222,0.4041098477429571,0.4621404732699007,0.09972620385336795,0.35562199925756555,0.38310143359058446,0.5021316409195324,0.18404103482144674,0.03341799470505946"
pmc89,"0.4722149251619493,0.24185229090045168,0.5908332605690108,0.806834739267264,0.8902637838909163,0.15190269351229435,0.18704374855752337,0.9472833396118153,0.24317219099945409,0.8191023176741997,0.2316717013834434,0.7081720886452816,0.07857849715502074,0.45378954138363925,0.44869362262253065,0.7175977656581762,0.7648098009029954,0.5184080219452041,0.9918099513493635,0.7295082286523967,0.38042000750756233,0.6649849034759953,0.19609771273839294,0.6884050184921369,0.37532990791960186,0.7139526325065898,0.4042897472548691,0.994819293965951,0.835825927910516,0.862640471149179,0.25310153917960876,0.7892928483196856,0.20347274249759584,0.6668473913056581,0.4233351441531975,0.19641921587201738,0.019155485551252904,0.9805682270607236,0.4032106331838228,0.8706884554574393,0.04499682123542437,0.7006114963944516,0.8030118815263205,0.04406586157038139,0.5638929210554023,0.7293098004772062,0.9757788185489327,0.3301559503156044,0.6900468884094496,0.7697466228570872,0.11921044284057336,0.2755667763091785,0.7204567414627562,0.8634315777893845,0.9150984544900299,0.6410861035821595,0.6459278930230393,0.21143125799891116,0.4511300697978414,0.8226574684804273,0.021149823349416286,0.14562864670542341,0.45221510010171806,0.5649526076524732,0.7146960890066222,0.7905136075336477,0.0727362617771965,0.5505453006199955,0.5099850793134971,0.031068130244456316,0.08579428489948948,0.6050712534377437,0.8424641068355752,0.4238081851735742,0.807477935651909,0.07417619559431221,0.8378413809055185,0.5814248948690871,0.400155272865399,0.8386217961980568,0.8842451739289542,0.3648180963078569,0.5103927213487066,0.09019570020024437,0.18121804361361726,0.6707472004717734,0.1880585664790756,0.6681806619579052,0.09966392207677588,0.5876944695313122,0.6121586589432291,0.814208767054663,0.22150105085385274,0.5491440152414512,0.36332447556901004,0.7910040740654073,0.8355707099645604,0.02001172362877479,0.29592634898028836,0.8158208510252952"
pmc90,"0.1195942459383017,0.09310276780589921,0.03050024993904943,0.9905051420006733,0.45565675278571294,0.13882717264941014,0.3236792364042437,0.1533514031160802,0.7222669318556592,0.7994158789689793,0.9427317741351257,0.0673506014687717,0.39692327620159606,0.23605046334646396,0.23754413087432746,0.6924361513243696,0.17483862726041255,0.15016900081704165,0.0991780995872159,0.7655128989911097,0.7756118509253275,0.260286857566003,0.6107800710757683,0.37455288702012135,0.2857835555258702,0.8225347943841967,0.5309376784120938,0.7117228057460487,0.3321910331156046,0.17925561190779005,0.45025424614289034,0.30779583168074565,0.06697361202527152,0.32302734575409386,0.08456537809723785,0.951444825663092,0.8268585609727531,0.21469588746335544,0.7523978823037879,0.08352491468001877,0.7341512590416462,0.7534721106595967,0.5402788931874211,0.18527685033354002,0.26116243251086024,0.5750605734588147,0.3691361938092045,0.10680070400236363,0.3161013115469705,0.9754103676847451,0.03646105082561846,0.33217252206173253,0.281825003295472,0.13945023620516017,0.15636214164487505,0.3116529166546489,0.23287914615181504,0.2651707411833556,0.718699265972796,0.013281203458580082,0.418932977983946,0.6974316172371925,0.14278563666788469,0.08814224339079213,0.603792757286118,0.4539588330478598,0.7901313737261083,0.8258882264268146,0.4605825506946666,0.9469028994605169,0.09093544991304114,0.5598905318457854,0.7223735076327985,0.649863921702575,0.10935590310947885,0.19201625096794883,0.07235725774132662,0.5489325244993376,0.15049549807258555,0.6547757512842602,0.8626751629457258,0.8733914579092193,0.9694393756758783,0.6060150024794432,0.8103032991233325,0.8473550539093668,0.42801935243964384,0.8958121013985787,0.272467184033096,0.25218198181926943,0.4329730498397063,0.9039816965892853,0.5120233891087593,0.9491124568882471,0.5013509936337459,0.5102129164781221,0.9672132068082684,0.2528549787625588,0.7170479387071047,0.45038321303900797"
pmc91,"0.713244787222995,0.8972157579533268,0.03734818874921442,0.4126176769114265,0.6201325978015367,0.6408747448032146,0.4254364386164168,0.5862298320167972,0.8556964681062857,0.6946964708544268,0.6496466489923685,0.5821704601762733,0.13271575404306035,0.07349674733001266,0.3732517916293401,0.9912559937021883,0.5025660764634424,0.7374337687214856,0.40149431586128825,0.15890816766935356,0.9644766539008116,0.9071950307058299,0.2806832155159743,0.16686020169875282,0.20322309108608727,0.8039585075525203,0.5951316749056815,0.9811437317918219,0.6936180574737952,0.8000034817636814,0.9575810150838173,0.9137884438732593,0.8773504531328387,0.8979191869576658,0.6068469555401391,0.17549162738135737,0.5247356376614322,0.06723418009056115,0.5312940183509319,0.2111259425580374,0.3413186459500521,0.8728594215656645,0.07928028463119174,0.5412701109416781,0.6949531193430477,0.20681789313339627,0.35719233399304484,0.953402879382095,0.05574085358744174,0.57356328002671,0.05274395216221739,0.7008084180017403,0.18430139695009906,0.5692064631294277,0.751798163586933,0.5253182644507214,0.1567604286516393,0.6628597876346657,0.5862354987807616,0.5420152984797261,0.7758650652027869,0.6428065910861737,0.38943468007767323,0.41366552358320696,0.29892615009833323,0.30166224163114885,0.21778080176756853,0.3035039091479522,0.9007601624507324,0.24071258566350673,0.9232237469852286,0.4864050355361782,0.07799386640940908,0.024697297686111286,0.3972912929459057,0.8399982232439429,0.8811051483565658,0.21932040121138208,0.503570074403555,0.22842585230842016,0.4433203207726987,0.39499027054903246,0.6932095422188678,0.08963177330461791,0.13503813668054743,0.009538954025544943,0.6582837834261573,0.05778819701986415,0.8317853001851593,0.20371739327766658,0.07102456764932663,0.015643295307434135,0.5488417555934738,0.9986173191643847,0.04339717857856085,0.12784973699346702,0.4386553813503745,0.5174012898249661,0.08427055918076554,0.3251329284002644"
